4.4300 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.3257 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001E9F6AEE400>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001E9F6B23240>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3258 	EXP 	window1: recordFrameIntervals = False
5.4916 	EXP 	window1: recordFrameIntervals = True
5.6754 	EXP 	window1: recordFrameIntervals = False
5.9332 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+\n', units='height', win=Window(...), wrapWidth=1)
5.9510 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
5.9539 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='+ + +', units='height', win=Window(...), wrapWidth=1)
5.9586 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
6.0024 	EXP 	Imported conditions/GlobalConditions.xlsx as conditions, 24 conditions, 4 params
6.0028 	EXP 	Created sequence: random, trialTypes=24, nReps=5, seed=None
6.0031 	EXP 	New trial (rep=0, index=0): OrderedDict([('ConditionFile', 'conditions/BYListBas1Pro2Rea1.xlsx'), ('TrialType', 'BY'), ('CorrRespTarget', 1.0), ('CorRespCue', 1)])
6.0081 	EXP 	Imported conditions\trialTiming.xlsx as conditions, 4 conditions, 2 params
6.0083 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=1, seed=None
6.0086 	EXP 	New trial (rep=0, index=0): OrderedDict([('PreCueTime', 1.0), ('ISI', 2)])
6.0255 	EXP 	text: autoDraw = True
7.0291 	EXP 	Imported conditions/BYListBas1Pro2Rea1.xlsx as conditions, 36 conditions, 3 params
7.0297 	EXP 	Created sequence: fullRandom, trialTypes=36, nReps=1, seed=None
7.0303 	EXP 	New trial (rep=0, index=0): OrderedDict([('TrialType', 'BY'), ('Cue', 'H'), ('Probe', 'U')])
7.0598 	EXP 	text: autoDraw = False
7.0598 	EXP 	text: autoDraw = False
7.0598 	EXP 	text_2: text = 'H'
7.0598 	EXP 	text_2: autoDraw = True
7.5437 	EXP 	text_2: autoDraw = False
7.5604 	EXP 	text_4: autoDraw = True
7.6824 	DATA 	Keypress: 1
9.5625 	EXP 	text_4: autoDraw = False
9.5625 	EXP 	text_2: autoDraw = False
9.5625 	EXP 	text_4: autoDraw = False
9.5625 	EXP 	text_3: text = 'U'
9.5625 	EXP 	text_3: autoDraw = True
10.2185 	DATA 	Keypress: 2
11.0365 	EXP 	New trial (rep=0, index=1): OrderedDict([('ConditionFile', 'conditions/AYListBas1Pro2Rea1.xlsx'), ('TrialType', 'BX'), ('CorrRespTarget', 1.0), ('CorRespCue', 1)])
11.0485 	EXP 	Imported conditions\trialTiming.xlsx as conditions, 4 conditions, 2 params
11.0490 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=1, seed=None
11.0495 	EXP 	New trial (rep=0, index=0): OrderedDict([('PreCueTime', 1.0), ('ISI', 6)])
11.0642 	EXP 	text_3: autoDraw = False
11.0642 	EXP 	text_3: autoDraw = False
11.0642 	EXP 	text: autoDraw = True
12.0647 	EXP 	Imported conditions/AYListBas1Pro2Rea1.xlsx as conditions, 8 conditions, 3 params
12.0652 	EXP 	Created sequence: fullRandom, trialTypes=8, nReps=1, seed=None
12.0658 	EXP 	New trial (rep=0, index=0): OrderedDict([('TrialType', 'AY'), ('Cue', 'A'), ('Probe', 'M')])
